x,z,y
352.268,202.034,0.0
340.422,184.203,0.0
363.994,216.486,0.0
372.338,195.883,0.0
321.824,188.071,0.0
347.074,229.682,0.0
327.913,224.298,0.0
316.18,206.54,0.0
351.366,168.444,0.0
369.407,177.818,0.0
324.749,170.118,0.0
375.946,230.254,0.0
331.768,242.944,0.0
306.849,176.031,0.0
392.859,197.738,0.0
339.865,153.699,0.0
299.048,193.051,0.0
311.0,234.941,0.0
347.758,251.248,0.0
361.288,150.086,0.0
398.264,177.636,0.0
401.203,214.631,0.0
292.959,219.318,0.0
380.231,249.686,0.0
389.251,157.117,0.0
314.608,145.888,0.0
396.799,237.811,0.0
328.357,262.296,0.0
290.93,166.1,0.0
412.028,191.196,0.0
368.582,265.524,0.0
350.689,269.313,0.0
279.203,180.943,0.0
379.554,138.076,0.0
274.919,199.007,0.0
408.194,161.023,0.0
294.538,252.029,0.0
420.822,209.846,0.0
294.087,144.911,0.0
341.444,123.917,0.0
280.105,239.531,0.0
306.264,266.481,0.0
402.782,256.716,0.0
311.677,127.823,0.0
402.331,140.224,0.0
417.214,244.218,0.0
385.643,274.293,0.0
430.188,193.638,0.0
318.216,280.249,0.0
358.801,115.24,0.0
271.311,158.386,0.0
260.261,187.583,0.0
368.73,284.936,0.0
259.042,211.184,0.0
339.069,287.806,0.0
262.967,228.985,0.0
431.865,173.828,0.0
393.698,123.98,0.0
431.414,229.389,0.0
422.852,150.575,0.0
331.521,107.122,0.0
255.448,168.842,0.0
266.124,256.228,0.0
445.177,204.378,0.0
382.937,107.903,0.0
276.497,128.604,0.0
425.438,261.344,0.0
357.906,302.122,0.0
415.636,277.124,0.0
394.234,291.962,0.0
254.56,150.637,0.0
289.351,111.516,0.0
303.107,296.068,0.0
449.687,178.599,0.0
410.223,115.812,0.0
240.409,204.977,0.0
278.527,281.812,0.0
240.416,186.411,0.0
336.257,306.809,0.0
242.446,227.129,0.0
303.558,100.091,0.0
378.427,303.977,0.0
352.493,90.815,0.0
451.717,231.817,0.0
442.471,255.154,0.0
316.687,307.97,0.0
432.993,127.934,0.0
330.619,87.983,0.0
448.109,149.012,0.0
237.033,165.807,0.0
247.632,259.841,0.0
258.675,123.833,0.0
462.943,193.223,0.0
412.704,296.556,0.0
258.224,279.384,0.0
459.772,163.234,0.0
436.157,278.98,0.0
465.924,211.018,0.0
367.426,80.356,0.0
354.974,321.554,0.0
283.263,304.27,0.0
272.431,102.546,0.0
238.838,141.201,0.0
425.156,105.354,0.0
386.771,83.394,0.0
287.991,90.731,0.0
406.39,91.108,0.0
222.375,189.536,0.0
395.565,314.523,0.0
452.393,130.948,0.0
301.754,319.21,0.0
221.473,230.938,0.0
339.632,71.006,0.0
469.758,241.191,0.0
307.392,75.582,0.0
329.717,329.365,0.0
213.581,208.381,0.0
228.852,263.224,0.0
480.582,200.57,0.0
444.501,108.391,0.0
480.575,181.249,0.0
384.741,330.147,0.0
260.486,305.247,0.0
426.46,309.934,0.0
478.552,159.851,0.0
217.189,249.002,0.0
467.953,265.797,0.0
249.662,100.58,0.0
355.876,61.423,0.0
244.024,294.213,0.0
453.295,289.526,0.0
310.457,335.39,0.0
375.721,62.595,0.0
430.294,86.323,0.0
211.551,155.164,0.0
235.004,111.028,0.0
205.237,178.99,0.0
220.797,131.827,0.0
361.514,342.743,0.0
277.399,72.75,0.0
489.595,223.823,0.0
473.366,127.139,0.0
310.316,57.629,0.0
334.227,53.612,0.0
203.905,236.499,0.0
485.48,250.627,0.0
414.508,68.063,0.0
325.433,347.43,0.0
264.771,324.678,0.0
218.767,278.589,0.0
422.168,329.477,0.0
394.663,55.955,0.0
471.336,286.401,0.0
285.743,339.618,0.0
454.197,308.664,0.0
193.51,220.782,0.0
486.368,268.832,0.0
194.518,161.354,0.0
497.044,156.238,0.0
503.351,202.536,0.0
256.878,70.895,0.0
408.419,344.305,0.0
188.88,195.14,0.0
300.176,352.117,0.0
376.841,43.373,0.0
466.149,94.33,0.0
374.417,357.965,0.0
278.633,54.236,0.0
228.013,89.643,0.0
200.494,129.399,0.0
191.932,250.565,0.0
